product,rating,rating count,price,product url
Simple Joys by Carter's Unisex Babies' Hooded Sweater Jacket with Sherpa Lining  ,4.8 out of 5 stars,"17,276  ",15.,https://amazon.com/Simple-Joys-Carters-Hooded-Sweater/dp/B07CL5H4FQ/ref=sr_1_21?keywords=clothes&qid=1662383313&sr=8-21
Gihuo Women's Athletic Full Zip Lightweight Workout Jacket with Thumb Holes  ,4.5 out of 5 stars,"3,293  ",23.,https://amazon.com/Gihuo-Womens-Athletic-Lightweight-Workout/dp/B08V8GHYYW/ref=sr_1_22?keywords=clothes&qid=1662383313&sr=8-22
Yovela Womens High Waisted Baggy Sweatpants Comfy Cotton High Waist Jogger Pants Y2k Trendy Lounge Trousers with Pockets  ,4.2 out of 5 stars,"1,528  ",22.,https://amazon.com/Yovela-Womens-Athletic-Sweatpants-Pockets/dp/B09BFD1H3C/ref=sr_1_23?keywords=clothes&qid=1662383313&sr=8-23
3 Pack Leggings for Women-No See-Through High Waisted Tummy Control Yoga Pants Workout Running Legging  ,4.3 out of 5 stars,"4,077  ",21.,https://amazon.com/Leggings-Women-No-See-Through-Waisted-Control/dp/B095JHKSN9/ref=sr_1_24?keywords=clothes&qid=1662383313&sr=8-24
"Gildan Adult Fleece Zip Hooded Sweatshirt, Style G18600  ",4.6 out of 5 stars,"36,382  ",16.,https://amazon.com/Gildan-Fleece-Hooded-Sweatshirt-Medium/dp/B00FDYBPNO/ref=sr_1_25?keywords=clothes&qid=1662383313&sr=8-25
Bofell Womens Active Long Sleeve Zip Up Hoodies with Pocket Hooded Sweatshirts Jackets  ,4.4 out of 5 stars,"2,189  ",30.,https://amazon.com/Sweatshirt-Hoodie-Pockets-Casual-Clothes/dp/B0995M1B6Z/ref=sr_1_26?keywords=clothes&qid=1662383313&sr=8-26
"Simple Joys by Carter's Toddlers and Baby Girls' Loose-Fit Flame Resistant Fleece Footed Pajamas, Pack of 3  ",4.8 out of 5 stars,"29,907  ",28.,https://amazon.com/Simple-Joys-Carters-Resistant-Pajamas/dp/B073X13JKB/ref=sr_1_27?keywords=clothes&qid=1662383313&sr=8-27
Amuver Women's Boho Hippie Harem Pants High Smocked Waist Printed Patchwork Sweatpants Yoga 90S Goth Baggy Casual Trousers  ,4.4 out of 5 stars,"1,181  ",29.,https://amazon.com/Amuver-Smocked-Patchwork-Sweatpants-Trousers/dp/B08ZHVLRDF/ref=sr_1_28?keywords=clothes&qid=1662383313&sr=8-28
OQQ Women's 3 Piece Yoga Shorts Ribbed Seamless Workout High Waist Athletic Leggings  ,4.5 out of 5 stars,"5,482  ",32.,https://amazon.com/OQQ-Seamless-Athletic-Leggings-Candyblue/dp/B09BTBMGQC/ref=sr_1_29?keywords=clothes&qid=1662383313&sr=8-29
Bofell Hoodies for Women Pullover Long SLeeve V Neck Shirts Casual Tops Sweatshirts  ,4.4 out of 5 stars,973  ,27.,https://amazon.com/Pullover-Sweatshirts-Women-Clothes-Light/dp/B0995J41X3/ref=sr_1_30?keywords=clothes&qid=1662383313&sr=8-30
Hudson Baby Unisex Baby Premium Quilted Long Sleeve Sleeping Bag and Wearable Blanket  ,4.6 out of 5 stars,"5,848  ",12.,https://amazon.com/Hudson-Baby-Premium-Sleeping-Wearable/dp/B08GWZ35BS/ref=sr_1_31?keywords=clothes&qid=1662383313&sr=8-31
Aloodor Sweatshirts for Women Crewneck Plain Fashion Sweater Long Sleeve Casual Tunic Tops  ,5.0 out of 5 stars,6  ,20.,https://amazon.com/Clothes-Sweatshirts-Crewneck-Lightweight-Apricot/dp/B0B3HK95J3/ref=sr_1_32?keywords=clothes&qid=1662383313&sr=8-32
ANRABESS Women's Crewneck Long Sleeve Oversized Fuzzy Knit Chunky Warm Pullover Sweater Top  ,4.6 out of 5 stars,11  ,36.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A002809037GM5FTTC1ZZO&url=%2FANRABESS-Crewneck-Oversized-Pullover-626junlv-M%2Fdp%2FB0B3TL3B9R%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dclothes%26qid%3D1662383313%26sr%3D8-33-spons%26psc%3D1&qualifier=1662383313&id=807773152994355&widgetName=sp_mtf
VIISHOW Women's V Neck Button Down Knitwear Long Sleeve Soft Basic Knit Cardigan Sweater  ,4.3 out of 5 stars,"3,299  ",34.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06889642J79C17F9NAG4&url=%2FVIISHOW-Cardigan-Sweaters-Brownish-XX-Large%2Fdp%2FB09F9MZV5D%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dclothes%26qid%3D1662383313%26sr%3D8-34-spons%26psc%3D1&qualifier=1662383313&id=807773152994355&widgetName=sp_mtf
