product,rating,rating count,price,product url
No Nonsense Women’s Classic Jeggings with Back Pockets  ,4.2 out of 5 stars,"24,199  ",17.,https://amazon.com/Classic-Denim-Leggings-Medium-Wash/dp/B06WRPHQJJ/ref=sr_1_26?keywords=jeans&qid=1662383722&sr=8-26
Wrangler Authentics Men's Comfort Flex Waist Relaxed Fit Jean  ,4.6 out of 5 stars,"45,696  ",32.,https://amazon.com/Wrangler-Authentics-Comfort-Relaxed-Stonewash/dp/B07HNWC4XH/ref=sr_1_27?keywords=jeans&qid=1662383722&sr=8-27
Lee Women's Relaxed Fit Straight Leg Jean  ,4.3 out of 5 stars,"18,297  ",29.,https://amazon.com/LEE-Womens-Relaxed-Straight-Bewitched/dp/B07PVKVD5V/ref=sr_1_28?keywords=jeans&qid=1662383722&sr=8-28
Wrangler Men’s 13MWZ Cowboy Cut Original Fit Jean  ,4.5 out of 5 stars,"22,089  ",26.,https://amazon.com/Wrangler-Cowboy-Original-Rigid-Indigo/dp/B0006U68FA/ref=sr_1_29?keywords=jeans&qid=1662383722&sr=8-29
Dickies Men's Relaxed-Fit Carpenter Jean  ,4.6 out of 5 stars,"6,994  ",29.,https://amazon.com/Dickies-Relaxed-Carpenter-Indigo-36x32/dp/B004R8XCRE/ref=sr_1_31?keywords=jeans&qid=1662383722&sr=8-31
HUDSON Men's Zack Super Skinny Jean Rp  ,5.0 out of 5 stars,9  ,31.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06940922UO31CI321V5S&url=%2FHUDSON-Jeans-Super-Skinny-Unknownn%2Fdp%2FB08P54WS7V%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Djeans%26qid%3D1662383722%26sr%3D8-33-spons%26psc%3D1&qualifier=1662383722&id=4175037124186867&widgetName=sp_mtf
"TK Flex Reach Pants for Men, Jeans Style, Lightweight Cotton/Nylon Stretch, Quick Dry, Breathable, Multifunctional Pockets  ",3.5 out of 5 stars,8  ,69.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01446441F7NLJAOWBUIN&url=%2FTK-Flex-Lightweight-Breathable-Multifunctional%2Fdp%2FB09DK6GS1P%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Djeans%26qid%3D1662383722%26sr%3D8-34-spons%26psc%3D1&qualifier=1662383722&id=4175037124186867&widgetName=sp_mtf
QIMYUM Men's Distressed Slim Fit Biker Jeans Stretched Moto Denim Pants  ,4.4 out of 5 stars,"1,688  ",39.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0585126M6YE54CHEGID&url=%2FQIMYUM-Distressed-Straight-Biker-Stretched%2Fdp%2FB07T1L7BNL%2Fref%3Dsr_1_35_sspa%3Fkeywords%3Djeans%26qid%3D1662383722%26sr%3D8-35-spons%26psc%3D1&qualifier=1662383722&id=4175037124186867&widgetName=sp_mtf
Lee Men's Big & Tall Performance Series Extreme Motion Straight Fit Tapered Leg Jean  ,4.7 out of 5 stars,"3,862  ",33.,https://amazon.com/LEE-Big-Tall-Extreme-Straight-Maverick/dp/B06ZXR76F2/ref=sr_1_38?keywords=jeans&qid=1662383722&sr=8-38
Nautica Men's Loose Fit 5 Pocket Jean Pant  ,4.4 out of 5 stars,"4,932  ",27.,https://amazon.com/Nautica-Mens-Loose-Pocket-Submerge/dp/B07HRHBLTG/ref=sr_1_39?keywords=jeans&qid=1662383722&sr=8-39
Joe's Jeans Women's Charlie High Rise Skinny Crop  ,4.3 out of 5 stars,169  ,18.,https://amazon.com/Joes-Jeans-Charlie-Twisted-Leopard/dp/B07TKCR3Q3/ref=sr_1_40?keywords=jeans&qid=1662383722&sr=8-40
Levi's Women's High Waisted Mom Jeans  ,4.3 out of 5 stars,145  ,55.,https://amazon.com/Levis-Womens-Waisted-Summer-Games-Medium/dp/B096WKB24T/ref=sr_1_41?keywords=jeans&qid=1662383722&sr=8-41
Amazon Essentials Men's Skinny-Fit Stretch Jean  ,4.3 out of 5 stars,"10,218  ",32.,https://amazon.com/Amazon-Essentials-Skinny-Fit-Stretch-Black/dp/B07BJL6XTT/ref=sr_1_42?keywords=jeans&qid=1662383722&sr=8-42
Levi's Men's 541 Athletic Fit Jeans  ,4.6 out of 5 stars,"23,870  ",49.,https://amazon.com/Levis-Mens-Athletic-Seven-Reasons/dp/B08P53Z85N/ref=sr_1_43?keywords=jeans&qid=1662383722&sr=8-43
Lee Women's Petite Relaxed Fit Straight Leg Jean  ,4.3 out of 5 stars,"2,502  ",32.,https://amazon.com/LEE-Womens-Relaxed-Straight-Bewitched/dp/B07RWPKQ5S/ref=sr_1_44?keywords=jeans&qid=1662383722&sr=8-44
Amazon Essentials Women's Skinny Jean  ,4.2 out of 5 stars,"7,142  ",32.,https://amazon.com/Amazon-Essentials-Womens-Skinny-Medium/dp/B07RL5Z7GW/ref=sr_1_45?keywords=jeans&qid=1662383722&sr=8-45
Lee Men's Performance Series Extreme Motion Slim Straight Leg Jean  ,4.6 out of 5 stars,"8,334  ",33.,https://amazon.com/LEE-Modern-Extreme-Motion-Straight/dp/B071K2F2XH/ref=sr_1_46?keywords=jeans&qid=1662383722&sr=8-46
Democracy Women's Ab Solution High Rise Ankle  ,4.5 out of 5 stars,"2,010  ",46.,https://amazon.com/Democracy-Womens-High-Solution-Jegging/dp/B07BGL8DPS/ref=sr_1_48?keywords=jeans&qid=1662383722&sr=8-48
Lee Men's Big & Tall Regular Fit Straight Leg Jean  ,4.5 out of 5 stars,"1,482  ",30.,https://amazon.com/Big-Tall-Regular-Straight-Double-Black/dp/B0008ENZM8/ref=sr_1_49?keywords=jeans&qid=1662383722&sr=8-49
Lee Men’s Performance Series Extreme Motion Athletic Fit Tapered Leg Jean  ,4.7 out of 5 stars,"10,602  ",33.,https://amazon.com/LEE-Modern-Extreme-Motion-Athletic/dp/B0743RQ16M/ref=sr_1_50?keywords=jeans&qid=1662383722&sr=8-50
Lee Men's Relaxed Fit Straight Leg Jean  ,4.5 out of 5 stars,"10,671  ",32.,https://amazon.com/Mens-Relaxed-Straight-Jean-Tomas/dp/B00V6PVD7W/ref=sr_1_51?keywords=jeans&qid=1662383722&sr=8-51
Lucky Brand Men's 181 Relaxed Straight Jean  ,4.4 out of 5 stars,"5,370  ",73.,https://amazon.com/Lucky-Brand-Relaxed-Straight-Aliso/dp/B07CJPGFQ5/ref=sr_1_52?keywords=jeans&qid=1662383722&sr=8-52
Amazon Essentials Men's Straight-Fit Stretch Jean  ,4.3 out of 5 stars,"8,597  ",22.,https://amazon.com/Amazon-Essentials-Mens-Straight-Fit-Stretch/dp/B07BJL4TYV/ref=sr_1_53?keywords=jeans&qid=1662383722&sr=8-53
Lee Women's Modern Series Curvy Fit Bootcut Jean with Hidden Pocket  ,4.4 out of 5 stars,"2,111  ",34.,https://amazon.com/LEE-Womens-Modern-Bootcut-Majestic/dp/B01EOX2HUY/ref=sr_1_54?keywords=jeans&qid=1662383722&sr=8-54
Amazon Essentials Women's High-Rise Skinny Jean  ,4.3 out of 5 stars,"3,927  ",29.,https://amazon.com/Amazon-Essentials-Womens-Standard-High-Rise/dp/B07QTDKNY7/ref=sr_1_55?keywords=jeans&qid=1662383722&sr=8-55
Levi's Women's Ribcage Straight Ankle Jeans  ,4.3 out of 5 stars,"4,385  ",29.,https://amazon.com/Levis-Womens-Ribcage-Straight-Ripple/dp/B08NV37C4C/ref=sr_1_56?keywords=jeans&qid=1662383722&sr=8-56
Lee Men's Fleece and Flannel Lined Relaxed-Fit Straight-Leg Jeans  ,4.5 out of 5 stars,"7,793  ",37.,https://amazon.com/Fleece-Flannel-Relaxed-Fit-Straight-Leg-Wash-Fleece/dp/B01GN8ZPGG/ref=sr_1_57?keywords=jeans&qid=1662383722&sr=8-57
Amazon Essentials Men's Skinny-Fit Stretch Jean  ,4.3 out of 5 stars,"10,218  ",25.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A097463122MRCQGE0KEH0&url=%2FAmazon-Essentials-Skinny-Fit-Stretch-Black%2Fdp%2FB07BJKR3C1%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Djeans%26qid%3D1662383722%26sr%3D8-58-spons%26psc%3D1&qualifier=1662383722&id=4175037124186867&widgetName=sp_btf
RIPIUM Men's Skinny Stretch Jeans Fashion Printed Slim Fit Jeans Comfort Flex Waist Casual Pants  ,4.5 out of 5 stars,124  ,35.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A02723873I5QY0722V7FE&url=%2FRIPIUM-Stretch-Fashion-Printed-Comfort%2Fdp%2FB09N9Q3WN3%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Djeans%26qid%3D1662383722%26sr%3D8-59-spons%26psc%3D1&qualifier=1662383722&id=4175037124186867&widgetName=sp_btf
The Children's Place Boys' Stretch Skinny Jeans  ,4.7 out of 5 stars,"1,919  ",12.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A014780439QYAD3SRC9IJ&url=%2FChildrens-Place-Skinny-Jeans-Legend%2Fdp%2FB0861WTTKV%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Djeans%26qid%3D1662383722%26sr%3D8-60-spons%26psc%3D1&qualifier=1662383722&id=4175037124186867&widgetName=sp_btf
